Financial Institution Number,Institution Name,Institution Type,Charter Type,Headquarters,Failure Date,Insurance Fund,Certificate Number,Transaction Type,Total Deposits,Total Assets,Estimated Loss (2015)
4337,CITY BANK AND TRUST,COMMERCIAL BANK,STATE,"CLAREMONT, NH",3/29/1991 ,BIF,22487,ACQUISITION,119406,116044,40626
4339,FIRST STATE BANK,COMMERCIAL BANK,STATE,"WEIMAR, TX",4/4/1991 ,BIF,11576,ACQUISITION,26208,26023,2212
2210,FIRST FS & LA OF SEMINOLE CO.,SAVINGS ASSOCIATION,FEDERAL/STATE,"SANFORD, FL",4/5/1991 ,RTC,29417,ACQUISITION,160429,185267,17734
2200,"FIRST FEDERAL SB, FSB",SAVINGS BANK,STATE,"ASHBURN, GA",4/5/1991 ,RTC,31270,ACQUISITION,30573,30156,2746
2144,FIRST SAVINGS OF ZION,SAVINGS ASSOCIATION,FEDERAL/STATE,"ZION, IL",4/5/1991 ,RTC,30361,ACQUISITION,60613,63207,6158
2140,COLUMBIA FSA OF HAMILTON,SAVINGS ASSOCIATION,FEDERAL/STATE,"HAMILTON, OH",4/5/1991 ,RTC,28347,ACQUISITION,51742,61327,1172
4340,THE BLUEVILLE BANK OF GRAFTON,COMMERCIAL BANK,STATE,"GRAFTON, WV",4/5/1991 ,BIF,19612,ACQUISITION,46936,48118,3752
4341,AMERICAN BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,"SHREVEPORT, LA",4/11/1991 ,BIF,18723,ACQUISITION,60439,60928,10525
2192,SECURITY SAVINGS & LOAN,SAVINGS ASSOCIATION,FEDERAL/STATE,"WATERBURY, CT",4/12/1991 ,RTC,32054,ACQUISITION,129364,143194,49989
4342,WHITNEY BANK AND TRUST,COMMERCIAL BANK,STATE,"HAMDEN, CT",4/12/1991 ,BIF,27315,TRANSFER,49222,40601,29581
4343,ARIZONA COMMERCE BANK,COMMERCIAL BANK,STATE,"TUCSON, AZ",4/12/1991 ,BIF,23487,ACQUISITION,79757,80832,7329
4344,COMMUNITY NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"SHERMAN, TX",4/18/1991 ,BIF,25120,ACQUISITION,18929,19048,2728
2187,CHISHOLM FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"KINGFISHER, OK",4/19/1991 ,RTC,32603,ACQUISITION,147099,154401,-386
2139,MERCANTILE SAVINGS BANK,SAVINGS ASSOCIATION,FEDERAL/STATE,"SOUTHAVEN, MS",4/19/1991 ,RTC,31914,ACQUISITION,33995,33779,9121
1219,CIMARRON FEDERAL SAVINGS,SAVINGS ASSOCIATION,FEDERAL/STATE,"MUSKOGEE, OK",4/19/1991 ,RTC,32596,ACQUISITION,713933,781965,0
1268,"PROSPECT PARK, FSB",SAVINGS ASSOCIATION,FEDERAL/STATE,"WEST PATERSON, NJ",4/19/1991 ,RTC,29844,ACQUISITION,474313,511522,94773
2203,METROPOLITAN FS & LA,SAVINGS BANK,STATE,"NASHVILLE, TN",4/19/1991 ,RTC,30392,ACQUISITION,811836,985057,112220
2205,RED RIVER FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"LAWTON, OK",4/26/1991 ,RTC,32605,ACQUISITION,378312,422245,-442
2185,AUGUSTA FSA,SAVINGS BANK,STATE,"BALTIMORE, MD",4/26/1991 ,RTC,29819,ACQUISITION,132558,151333,5595
2154,"HOME FS & LA, FA",SAVINGS ASSOCIATION,FEDERAL/STATE,"ALGONA, IA",4/26/1991 ,RTC,29588,ACQUISITION,116937,134307,4
1212,SUNBELT SAVINGS,SAVINGS BANK,STATE,"IRVING, TX",4/26/1991 ,RTC,32598,ACQUISITION,4265330,6038921,3
2167,"EXECUTIVE SB, FSB",SAVINGS BANK,STATE,"MARINA DEL REY, CA",4/26/1991 ,RTC,32202,ACQUISITION,55501,58634,6324
1286,JOHN HANSON FSB,SAVINGS BANK,STATE,"BELTSVILLE, MD",4/26/1991 ,RTC,32380,ACQUISITION,658563,840701,147716
4345,COLUMBINE VALLEY BANK AND TRUST,COMMERCIAL BANK,STATE,"JEFFERSON COUNTY, CO",4/26/1991 ,BIF,23217,ACQUISITION,9213,9458,2002
2143,FIRST FS & LA OF PITTSBURG,SAVINGS ASSOCIATION,FEDERAL/STATE,"PITTSBURG, KS",5/3/1991 ,RTC,28975,ACQUISITION,143505,290886,5
2193,SENTRY FSA,SAVINGS BANK,STATE,"NORFOLK, VA",5/3/1991 ,RTC,30413,PAYOUT,47246,50295,12306
2153,CENTURY FEDERAL SAVINGS,SAVINGS BANK,STATE,"CHICAGO, IL",5/3/1991 ,RTC,30370,ACQUISITION,24375,25857,1319
2155,"LIBERTY SB, FSB",SAVINGS BANK,STATE,"MARIETTA, OH",5/3/1991 ,RTC,30686,ACQUISITION,17762,17787,3322
2190,"NEWTON SAVINGS BANK, FSA",SAVINGS ASSOCIATION,FEDERAL/STATE,"FAIRFIELD, NJ",5/3/1991 ,RTC,31179,ACQUISITION,38447,40854,3585
2181,SECURITY FS & LA OF ALBUQUERQUE,SAVINGS ASSOCIATION,FEDERAL/STATE,"ALBUQUERQUE, NM",5/3/1991 ,RTC,32412,ACQUISITION,193444,261711,29423
4347,BOSTON TRADE BANK,COMMERCIAL BANK,STATE,"BOSTON, MA",5/3/1991 ,BIF,26791,TRANSFER,301548,307033,127300
4350,THE FIRST NATIONAL BANK OF POTH,COMMERCIAL BANK,FEDERAL,"POTH, TX",5/9/1991 ,BIF,3397,ACQUISITION,18545,18673,1450
4346,CHIRENO STATE BANK,COMMERCIAL BANK,STATE,"CHIRENO, TX",5/9/1991 ,BIF,8441,ACQUISITION,12345,12397,1467
4348,VILLAGE GREEN NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"JERSEY VILLAGE, TX",5/9/1991 ,BIF,25736,TRANSFER,27110,29452,8505
4349,TEXAS BANK AND TRUST OF TEMPLE,COMMERCIAL BANK,STATE,"TEMPLE, TX",5/9/1991 ,BIF,18709,ACQUISITION,44972,45228,10724
4353,MADISON NATIONAL BANK OF VIRGINIA,COMMERCIAL BANK,FEDERAL,"MCLEAN, VA",5/10/1991 ,BIF,20210,ACQUISITION,159413,174187,18207
4352,MADISON NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"WASHINGTON, DC",5/10/1991 ,BIF,18960,ACQUISITION,404200,473781,77772
2173,COLONIAL FSB,SAVINGS BANK,STATE,"CRANSTON, RI",5/10/1991 ,RTC,32537,PAYOUT,62304,60629,28617
4351,THE WASHINGTON BANK (OF MARYLAND),COMMERCIAL BANK,STATE,"BALTIMORE, MD",5/10/1991 ,BIF,27418,TRANSFER,39003,38974,968
2141,FIRST FS & LA OF CRESTON,SAVINGS ASSOCIATION,FEDERAL/STATE,"CRESTON, IA",5/10/1991 ,RTC,28885,ACQUISITION,67915,67326,1751
7289,CAPITOL FEDERAL BANK FOR SAVINGS,SAVINGS BANK,STATE,"CHICAGO, IL",5/10/1991 ,RTC,28523,ACQUISITION,33403,39274,0
2176,GUARANTY FSA,SAVINGS BANK,STATE,"WARNER ROBINS, GA",5/10/1991 ,RTC,32100,ACQUISITION,23606,25648,9770
2145,VERMILION FSB,SAVINGS BANK,STATE,"ABBEVILLE, LA",5/10/1991 ,RTC,31552,ACQUISITION,17570,17825,323
2142,FIRST FS & LA OF FARGO,SAVINGS ASSOCIATION,FEDERAL/STATE,"FARGO, ND",5/10/1991 ,RTC,28265,ACQUISITION,51170,50013,3040
2138,FIRST FSA OF NEWTON,SAVINGS BANK,STATE,"NEWTON, KS",5/10/1991 ,RTC,30782,ACQUISITION,105802,125607,1477
4355,CAPITAL BANK,COMMERCIAL BANK,STATE,"DALLAS, TX",5/16/1991 ,BIF,19935,ACQUISITION,104756,111610,25404
4354,FIRST NATIONAL BANK OF CEDAR HILL,COMMERCIAL BANK,FEDERAL,"CEDAR HILL, TX",5/16/1991 ,BIF,27131,ACQUISITION,11132,10959,2553
4357,THE COSMOPOLITAN NATIONAL BANK OF CHICAGO,COMMERCIAL BANK,FEDERAL,"CHICAGO, IL",5/17/1991 ,BIF,15404,ACQUISITION,108468,110088,14870
1280,ALTUS FSB,SAVINGS BANK,STATE,"MOBILE, AL",5/17/1991 ,RTC,29002,ACQUISITION,1154520,1970413,71167
2161,LUDINGTON FSB,SAVINGS BANK,STATE,"LUDINGTON, MI",5/17/1991 ,RTC,29795,ACQUISITION,33661,34190,807
4356,FIRST CITY BANK,COMMERCIAL BANK,STATE,"NEW ORLEANS, LA",5/17/1991 ,BIF,22504,ACQUISITION,56509,56068,10404
4358,THE FIRST NATIONAL BANK OF TOMS RIVER,COMMERCIAL BANK,FEDERAL,"TOMS RIVER, NJ",5/22/1991 ,BIF,6499,ACQUISITION,1380815,1417531,115612
1263,FAR WEST FSB,SAVINGS BANK,STATE,"PORTLAND, OR",5/23/1991 ,RTC,29202,ACQUISITION,1286017,2070002,313560
4359,LIBERTY NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"LOVINGTON, NM",5/23/1991 ,BIF,16544,ACQUISITION,51562,51370,3917
4361,FIRST SECURITY BANK,COMMERCIAL BANK,STATE,"ROANOKE, VA",5/24/1991 ,BIF,27380,TRANSFER,15027,15885,4460
4360,FLORIDA STATE BANK,COMMERCIAL BANK,STATE,"HOLIDAY, FL",5/24/1991 ,BIF,20753,ACQUISITION,81640,87374,16482
2180,PROGRESSIVE SAVINGS BANK,SAVINGS ASSOCIATION,FEDERAL/STATE,"PASADENA, CA",5/24/1991 ,RTC,31436,ACQUISITION,373666,388336,41659
2166,BURLESON COUNTY SAVINGS ASSOC.,SAVINGS BANK,STATE,"CALDWELL, TX",5/31/1991 ,RTC,32126,ACQUISITION,31986,31475,7388
1264,GOLDOME FSB,SAVINGS BANK,STATE,"ST. PETERSBURG, FL",5/31/1991 ,RTC,31168,ACQUISITION,1320508,1476880,96925
2208,UNITED FS & LA,SAVINGS BANK,STATE,"SMYRNA, GA",5/31/1991 ,RTC,31274,ACQUISITION,106033,119333,10986
1217,ENTERPRISE S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"COMPTON, CA",5/31/1991 ,RTC,31363,ACQUISITION,13115,13508,88
4362,"UNIVERSITY BANK, NATIONAL ASSOCIATION",COMMERCIAL BANK,FEDERAL,"NEWTON, MA",5/31/1991 ,BIF,10544,TRANSFER,295818,318836,104173
4363,GOLDOME,SAVINGS BANK,STATE,"BUFFALO, NY",5/31/1991 ,BIF,15963,ACQUISITION,6525085,9890866,779432
1206,MERABANK TEXAS,SAVINGS BANK,STATE,"EL PASO, TX",5/31/1991 ,RTC,32592,ACQUISITION,744873,1157911,-4386
2209,WESTERLEIGH SAVINGS,SAVINGS ASSOCIATION,FEDERAL/STATE,"STATEN ISLAND, NY",5/31/1991 ,RTC,28019,ACQUISITION,145160,147849,9850
4364,"NORTHWEST BANK, NATIONAL ASSOCIATION",COMMERCIAL BANK,FEDERAL,"SAN ANTONIO, TX",6/6/1991 ,BIF,25142,ACQUISITION,7215,7204,789
1301,DRYADES S & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"NEW ORLEANS, LA",6/7/1991 ,RTC,28161,ACQUISITION,259731,262265,15075
4365,WOBURN FIVE CENTS SAVINGS BANK,SAVINGS BANK,STATE,"WOBURN, MA",6/7/1991 ,BIF,90310,ACQUISITION,239998,247219,35933
4368,PEOPLES BANK,COMMERCIAL BANK,STATE,"HEWITT, TX",6/13/1991 ,BIF,23039,ACQUISITION,16674,17273,3959
4367,TASCOSA NATIONAL BANK OF AMARILLO,COMMERCIAL BANK,FEDERAL,"AMARILLO, TX",6/13/1991 ,BIF,19012,ACQUISITION,75195,73908,11845
4366,THE BANK OF HORTON,COMMERCIAL BANK,STATE,"HORTON, KS",6/13/1991 ,BIF,17681,ACQUISITION,170540,167298,4250
4369,"TEXAS PREMIER BANK OF VICTORIA, NATIONAL A",COMMERCIAL BANK,FEDERAL,"VICTORIA, TX",6/13/1991 ,BIF,27274,ACQUISITION,15278,15449,1245
2194,SPRINGFIELD FSLA,SAVINGS ASSOCIATION,FEDERAL/STATE,"SPRINGFIELD, PA",6/14/1991 ,RTC,30538,ACQUISITION,95318,97522,-551
2159,"FIRST COMMERCE SB, FSB",SAVINGS BANK,STATE,"LOWELL, IN",6/14/1991 ,RTC,31276,ACQUISITION,10520,10886,1366
4370,BEACON CO-OPERATIVE BANK,SAVINGS BANK,STATE,"BOSTON, MA",6/21/1991 ,BIF,26659,ACQUISITION,30538,31806,2887
1296,GUARDIAN FSA,SAVINGS ASSOCIATION,FEDERAL/STATE,"HUNTINGTON BEACH, CA",6/21/1991 ,RTC,32179,ACQUISITION,654275,682096,150166
1211,METROBANK FS & LA,SAVINGS BANK,STATE,"PALISADES PARK, NJ",6/28/1991 ,RTC,30758,ACQUISITION,350087,474327,145771
2182,UNITED FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"JONESBORO, AR",6/28/1991 ,RTC,28786,ACQUISITION,136677,142465,16282
4371,FIRST MUTUAL BANK FOR SAVINGS,SAVINGS BANK,STATE,"BOSTON, MA",6/28/1991 ,BIF,17795,ACQUISITION,1081228,1129946,169857
1231,SURETY FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"MORGANTON, NC",7/9/1991 ,RTC,32566,ACQUISITION,163447,224820,1830
2178,MONYCOR SAVINGS BANK,SAVINGS BANK,STATE,"BARRON, WI",7/12/1991 ,RTC,29295,ACQUISITION,137588,151736,1906
1272,PAN AMERICAN FSB,SAVINGS ASSOCIATION,FEDERAL/STATE,"SAN MATEO, CA",7/12/1991 ,RTC,31800,ACQUISITION,250176,287190,8346
2174,DANBURRY SAVINGS & LOAN,SAVINGS ASSOCIATION,FEDERAL/STATE,"DANBURY, CT",7/12/1991 ,RTC,27825,ACQUISITION,184143,270228,24663
4373,LANDMARK THRIFT AND LOAN ASSOCIATION,COMMERCIAL BANK,STATE,"SAN DIEGO, CA",7/12/1991 ,BIF,25592,PAYOUT,15835,16638,2208
4372,DRIPPING SPRINGS NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"DRIPPING SPRINGS, TX",7/12/1991 ,BIF,23882,ACQUISITION,20527,20177,3682
2158,FIDELITY FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"AUSTIN, TX",7/12/1991 ,RTC,32223,PAYOUT,56885,67044,4995
2150,COOPERATIVE FSB,SAVINGS ASSOCIATION,FEDERAL/STATE,"WESTMONT, IL",7/19/1991 ,RTC,30545,ACQUISITION,46985,74903,1
7360,CLINTON S & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"CLINTON, OK",7/19/1991 ,RTC,30010,ACQUISITION,21565,22220,2434
2168,NEW METROPOLITAN FSB,SAVINGS ASSOCIATION,FEDERAL/STATE,"HIALEAH, FL",7/19/1991 ,RTC,32494,ACQUISITION,43214,18440,28173
4377,COMMUNITY GUARDIAN BANK,COMMERCIAL BANK,STATE,"ELMWOOD PARK, NJ",7/19/1991 ,BIF,26331,ACQUISITION,55038,55327,16016
4378,PONTCHARTRAIN STATE BANK,COMMERCIAL BANK,STATE,"METAIRIE, LA",7/19/1991 ,BIF,20960,ACQUISITION,142089,139958,29418
4379,THE KERENS BANK,COMMERCIAL BANK,STATE,"KERENS, TX",7/25/1991 ,BIF,3283,ACQUISITION,19848,19538,5128
1209,ATLANTIC FINANCIAL FSB,SAVINGS BANK,STATE,"SAN FRANCISCO, CA",7/26/1991 ,RTC,32301,ACQUISITION,413500,448913,34963
4381,THE HOUSATONIC BANK & TRUST CO,COMMERCIAL BANK,STATE,"ANSONIA, CT",7/26/1991 ,BIF,22325,ACQUISITION,64075,69070,13403
4380,SUBURBAN NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"HILLSBOROUGH TWNS, NJ",7/26/1991 ,BIF,27157,ACQUISITION,91287,91091,27794
7381,WESTLAND FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"RAWLINS, WY",7/26/1991 ,RTC,29498,ACQUISITION,31705,31809,2695
1292,CORAL COAST FSB,SAVINGS BANK,STATE,"BOYNTON BEACH, FL",8/2/1991 ,RTC,32438,ACQUISITION,60341,61158,16190
1238,STANDARD FS & LA,SAVINGS BANK,STATE,"COLUMBIA, SC",8/2/1991 ,RTC,27618,ACQUISITION,280738,319651,2702
4382,CITYTRUST,COMMERCIAL BANK,STATE,"BRIDGEPORT, CT",8/9/1991 ,BIF,2531,ACQUISITION,1807942,1918530,511098
7396,FIRST FS & LA OF THIEF RIVER FALLS,SAVINGS ASSOCIATION,FEDERAL/STATE,"THIEF RIVER FALLS, MN",8/9/1991 ,RTC,29041,ACQUISITION,55516,54605,2620
1279,GREAT AMERICAN FSA,SAVINGS BANK,STATE,"SAN DIEGO, CA",8/9/1991 ,RTC,28041,ACQUISITION,7230789,9523603,995496
7398,LARCHMONT FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"LARCHMONT, NY",8/9/1991 ,RTC,28587,ACQUISITION,123595,123777,6
4384,SOUTHCOAST BANK CORPORATION,COMMERCIAL BANK,STATE,"WEST PALM BEACH, FL",8/9/1991 ,BIF,21605,PAYOUT,26674,26094,12617
4383,MECHANICS AND FARMERS SAVINGS BANK,SAVINGS BANK,STATE,"BRIDGEPORT, CT",8/9/1991 ,BIF,18256,ACQUISITION,903692,1083920,324571
4385,BANK OF SOUTH PALM BEACHES,COMMERCIAL BANK,STATE,"HYPOLUXO, FL",8/9/1991 ,BIF,22908,ACQUISITION,63475,61282,30995
2164,"CENTRE SA, FA",SAVINGS ASSOCIATION,FEDERAL/STATE,"ARLINGTON, TX",8/16/1991 ,RTC,32252,ACQUISITION,15618,15233,4682
1210,FIRST AMERICAN FSB,SAVINGS BANK,STATE,"TUCSON, AZ",8/16/1991 ,RTC,32249,TRANSFER,130273,144988,11229
4386,ENFIELD NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"ENFIELD, CT",8/16/1991 ,BIF,27463,TRANSFER,19759,18966,4529
4387,NORTHWEST NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"FAYETTEVILLE, AR",8/16/1991 ,BIF,22016,ACQUISITION,30190,29438,936
4389,BUCHEL BANK & TRUST CO.,COMMERCIAL BANK,STATE,"CUERO, TX",8/22/1991 ,BIF,14421,ACQUISITION,24778,25026,1255
4388,FIRST MEXIA BANK,COMMERCIAL BANK,STATE,"MEXIA, TX",8/22/1991 ,BIF,15379,ACQUISITION,22432,22479,3734
7412,FIRST FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"MT. VERNON, OH",8/23/1991 ,RTC,27842,ACQUISITION,74359,73142,4
7415,MERCHANTS & MECHANICS FSB,SAVINGS BANK,STATE,"SPRINGFIELD, OH",8/23/1991 ,RTC,27693,ACQUISITION,206081,209860,22550
2183,NEW AGE FSA,SAVINGS ASSOCIATION,FEDERAL/STATE,"ST. LOUIS, MO",8/23/1991 ,RTC,27657,ACQUISITION,9585,9238,1896
4391,FIRST NATIONAL BANK AND TRUST CO,COMMERCIAL BANK,FEDERAL,"BLACKWELL, OK",8/29/1991 ,BIF,14804,ACQUISITION,33799,33498,1088
4390,THE SAN SABA NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"SAN SABA, TX",8/29/1991 ,BIF,5519,ACQUISITION,15492,15607,1058
4392,HILLSBOROUGH BANK AND TRUST CO,COMMERCIAL BANK,STATE,"MILFORD, NH",8/30/1991 ,BIF,26792,ACQUISITION,59467,49895,23907
1261,HOMESTEAD FSA,SAVINGS ASSOCIATION,FEDERAL/STATE,"MIDDLETOWN, PA",8/30/1991 ,RTC,31588,ACQUISITION,180986,223248,17492
2148,UNITED FSB,SAVINGS BANK,STATE,"PRESTONSBURG, KY",8/30/1991 ,RTC,30961,ACQUISITION,39317,39869,0
7422,FUTURE FEDERAL SAVINGS BANK,SAVINGS BANK,STATE,"LOUISVILLE, KY",8/30/1991 ,RTC,27862,ACQUISITION,408926,422336,29147
4394,HILTON HEAD BANK & TRUST COMPANY,COMMERCIAL BANK,FEDERAL,"HILTON HEAD ISLAND, SC",8/30/1991 ,BIF,26273,ACQUISITION,63039,64629,20857
4393,LOWELL INSTITUTION FOR SAVINGS,SAVINGS BANK,STATE,"LOWELL, MA",8/30/1991 ,BIF,90228,ACQUISITION,318149,386363,122009
7433,HEARTLAND S & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"LA MESA, CA",9/6/1991 ,RTC,32023,ACQUISITION,120790,121671,18381
1291,BAY FSB,SAVINGS ASSOCIATION,FEDERAL/STATE,"WEST PALM BEACH, FL",9/6/1991 ,RTC,32454,ACQUISITION,54053,58064,12678
4396,THE FAMILY BANK AND TRUST,COMMERCIAL BANK,STATE,"ALLENSTOWN, NH",9/6/1991 ,BIF,23679,ACQUISITION,46973,46671,10248
4395,SUFFIELD BANK,SAVINGS BANK,STATE,"SUFFIELD, CT",9/6/1991 ,BIF,18242,ACQUISITION,257036,294777,83633
7435,UNITED HOME FEDERAL,SAVINGS ASSOCIATION,FEDERAL/STATE,"TOLEDO, OH",9/6/1991 ,RTC,29411,ACQUISITION,446860,443424,9719
2171,DAVY CROCKETT FS & LA,SAVINGS BANK,STATE,"CROCKETT, TX",9/13/1991 ,RTC,32224,PAYOUT,48311,50532,2321
1235,EVERGREEN FS & LA,SAVINGS BANK,STATE,"CHARLESTON, WV",9/13/1991 ,RTC,28177,ACQUISITION,34959,40271,3584
4397,VALLEY BANK,COMMERCIAL BANK,STATE,"WHITE RIVER JUNCTION, VT",9/13/1991 ,BIF,26924,ACQUISITION,35568,33694,11069
1255,ABRAHAM LINCOLN FSA,SAVINGS BANK,STATE,"DRESHER, PA",9/19/1991 ,RTC,28889,ACQUISITION,166964,189089,10147
4401,SOUTHEAST BANK OF WEST FLORIDA,COMMERCIAL BANK,STATE,"PENSACOLA, FL",9/19/1991 ,BIF,16944,ACQUISITION,88214,97289,0
4400,"SOUTHEAST BANK, NATIONAL ASSOCIATION",COMMERCIAL BANK,FEDERAL,"MIAMI, FL",9/19/1991 ,BIF,3575,ACQUISITION,8908637,11026691,0
4398,BANK FIVE FOR SAVINGS,SAVINGS BANK,STATE,"ARLINGTON, MA",9/20/1991 ,BIF,24502,ACQUISITION,402696,386572,96642
4399,MID-JERSEY NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"SOMERVILLE, NJ",9/20/1991 ,BIF,26946,TRANSFER,28451,29471,6010
2129,UNITED SAVINGS OF AMERICA,SAVINGS ASSOCIATION,FEDERAL/STATE,"CHICAGO, IL",9/27/1991 ,RTC,27962,ACQUISITION,1067681,1160926,63518
4402,MIDCOUNTY BANK AND TRUST COMPANY,COMMERCIAL BANK,STATE,"NORWOOD, MA",9/27/1991 ,BIF,26843,ACQUISITION,58231,62113,12361
2121,NUTLEY SAVINGS & LOAN,SAVINGS ASSOCIATION,FEDERAL/STATE,"NUTLEY, NJ",9/27/1991 ,RTC,28742,ACQUISITION,178510,188649,17887
2114,FIRST FEDERAL SAVINGS,SAVINGS ASSOCIATION,FEDERAL/STATE,"BEAUMONT, TX",9/27/1991 ,RTC,27633,ACQUISITION,251734,251153,24891
1250,PLYMOUTH FSA,SAVINGS BANK,STATE,"PLYMOUTH, MA",9/27/1991 ,RTC,29460,ACQUISITION,137835,174717,20068
2113,EASTERN FS & LA OF SAYVILLE,SAVINGS ASSOCIATION,FEDERAL/STATE,"SAYVILLE, NY",9/27/1991 ,RTC,29563,ACQUISITION,264912,249533,29136
2119,HOME FS & LA OF HARLAN,SAVINGS ASSOCIATION,FEDERAL/STATE,"HARLAN, IA",9/27/1991 ,RTC,29092,ACQUISITION,89021,91411,35
2125,SANTA PAULA S & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"SANTA PAULA, CA",9/27/1991 ,RTC,27867,ACQUISITION,242557,280667,6947
2118,GOLD RIVER SB,SAVINGS ASSOCIATION,FEDERAL/STATE,"FAIR OAKS, CA",9/27/1991 ,RTC,32400,ACQUISITION,21944,24140,2094
4403,HARBOR NATIONAL BANK OF CONNECTICUT,COMMERCIAL BANK,FEDERAL,"BRANFORD, CT",10/3/1991 ,BIF,26815,ACQUISITION,22824,22853,1655
4404,REAGAN STATE BANK,COMMERCIAL BANK,STATE,"BIG LAKE, TX",10/3/1991 ,BIF,20027,ACQUISITION,20902,20254,4552
4408,"NUMERICA SAVINGS BANK, FSB",SAVINGS BANK,STATE,"MANCHESTER, NH",10/10/1991 ,BIF,17237,ACQUISITION,436535,509074,110982
4406,"BANK MERIDIAN, NATIONAL ASSOCIATION",COMMERCIAL BANK,FEDERAL,"HAMPTON, NH",10/10/1991 ,BIF,17879,ACQUISITION,105416,109379,8162
4409,BANKEAST,COMMERCIAL BANK,STATE,"MANCHESTER, NH",10/10/1991 ,BIF,15952,ACQUISITION,631606,816843,64402
4411,AMOSKEAG BANK,SAVINGS BANK,STATE,"MANCHESTER, NH",10/10/1991 ,BIF,17178,ACQUISITION,768425,937259,190785
1295,HOMEBANK FSA,SAVINGS BANK,STATE,"GILFORD, NH",10/10/1991 ,RTC,28946,ACQUISITION,192059,255081,16683
4410,DARTMOUTH BANK,SAVINGS BANK,STATE,"MANCHESTER, NH",10/10/1991 ,BIF,26700,ACQUISITION,835263,877159,220604
4412,NEW HAMPSHIRE SAVINGS BANK,SAVINGS BANK,STATE,"CONCORD, NH",10/10/1991 ,BIF,27287,ACQUISITION,947219,1171673,229739
4407,NASHUA TRUST COMPANY,COMMERCIAL BANK,STATE,"NASHUA, NH",10/10/1991 ,BIF,11486,ACQUISITION,397018,425059,35469
2132,"THE FIRST, FEDERAL ASSOCIATION",SAVINGS ASSOCIATION,FEDERAL/STATE,"ORLANDO, FL",10/11/1991 ,RTC,28763,ACQUISITION,960802,1066094,148030
4405,IONA SAVINGS BANK,SAVINGS BANK,STATE,"TILTON, NH",10/11/1991 ,BIF,17189,ACQUISITION,29513,31180,5334
2189,FIRST FEDERAL SAVINGS,SAVINGS BANK,STATE,"LUBBOCK, TX",10/11/1991 ,RTC,29191,ACQUISITION,222486,223669,5152
1249,LIFE FSB,SAVINGS ASSOCIATION,FEDERAL/STATE,"CLEARWATER, FL",10/11/1991 ,RTC,31990,ACQUISITION,88524,107603,9210
1299,OAKTREE FEDERAL SAVINGS,SAVINGS ASSOCIATION,FEDERAL/STATE,"NEW ORLEANS, LA",10/13/1991 ,RTC,32090,ACQUISITION,2256189,2214549,2345947
1271,CITIZENS FSA,SAVINGS BANK,STATE,"JACKSONVILLE, FL",10/16/1991 ,RTC,32615,ACQUISITION,66972,65710,8855
1232,FIRST FS & LA,SAVINGS BANK,STATE,"PONTIAC, MI",10/16/1991 ,RTC,29342,ACQUISITION,558620,916980,34307
4413,CENTRAL BANK,SAVINGS BANK,STATE,"MERIDEN, CT",10/18/1991 ,BIF,17822,ACQUISITION,627935,654715,242063
4415,"MISSION VALLEY BANK, NATIONAL ASSOC",COMMERCIAL BANK,FEDERAL,"SAN CLEMENTE, CA",10/18/1991 ,BIF,24565,TRANSFER,40510,42672,14527
4414,CONNECTICUT VALLEY BANK,COMMERCIAL BANK,STATE,"CROMWELL, CT",10/18/1991 ,BIF,27373,ACQUISITION,27862,28359,8598
4416,"FIRST NATIONAL BANK, BEDFORD",COMMERCIAL BANK,FEDERAL,"BEDFORD, TX",10/24/1991 ,BIF,25837,ACQUISITION,23253,23189,2394
4418,THE CITIZENS BANK OF PAGOSA SPRINGS,COMMERCIAL BANK,STATE,"PAGOSA SPRINGS, CO",10/25/1991 ,BIF,10413,ACQUISITION,16649,17275,2055
4417,COOLIDGE BANK AND TRUST COMPANY,COMMERCIAL BANK,STATE,"BOSTON, MA",10/25/1991 ,BIF,18317,ACQUISITION,315007,321204,85653
